Fund Name,Verified,Logo URL,Local Logo Path,LinkedIn,Website,Who we are,Value add,Firm type,Global HQ,Branch office #1,Branch office #2,Branch office #3,Branch office #4,Branch office #5,Funding requirements,Funding stages,Lead,Check Size Min,Check Size Max,Check size,Target countries,Team,Source Page,Profile URL,Twitter,Who I am,Application periodicity,Typical terms,Time to money,Typical fee
Ternel,TRUE,./images/funds/reccJP34mLvR5q6qV.jpg,logos/Ternel.jpg,https://www.linkedin.com/company/ternelvc,https://www.ternel.vc/,"Ternel is a venture capital firm committed to empowering tech companies that positively impact major societal themes. We focus on restoring and enhancing the planet's resilience, promoting individual and community well-being, and strengthening community bonds.
Ternel is backed by Capital Croissance, the €1b entrepreneurs' club platform.","We help founders and their teams craft the conditions needed for society and the planet to flourish​. We have an hands-on approach with specific workshops on impact, GTM, exit, experts network..",VC,"156, Rue de l'Université, Paris, Île-de-France 75007, FR

+
−
Leaflet",,,,,,"We invest in climatetech, inclusivity, education, digital health, and ethical data.",3. Early Revenue; 2. Prototype; 4. Scaling,Always,500000,5000000,$500k to $5M,France; Germany; UK; Spain; Portugal; Italy; Austria; Netherlands; Luxembourg; Switzerland; Sweden; Finland; Norway; Denmark,,22,fund/Ternel,,,,,,
6th Man Ventures,FALSE,./images/funds/reca1RXIV5Q8ZZter.jpg,logos/6th_Man_Ventures.jpg,https://www.linkedin.com/company/6mv/?viewAsMember=true,https://www.6thman.ventures,,,VC,"New York, US",,,,,,"We invest in web3 projects, protocols, and companies.",2. Prototype; 3. Early Revenue; 4. Scaling,Never,100000,5000000,$100k to $5M,Australia; UK; Brazil; Canada; France; India; Israel; Lithuania; Malaysia; Singapore; Switzerland; USA; Uruguay,,22,fund/6th%20Man%20Ventures,,,,,,
Pear Tree Ventures,TRUE,./images/funds/rec6d3zkLNzGzxZk4.jpg,logos/Pear_Tree_Ventures.jpg,https://www.linkedin.com/company/pear-tree-ventures,https://peartree.vc,"Pear Tree Ventures is a venture capital firm committed to shaping the future of innovation by investing in groundbreaking startups, fostering strategic partnerships, and providing exceptional returns to our investors.","We give our founders access to internal networks, for recruitment and additional financing. Leveraging our knowledge as founders we provide operational support and strategic planning.",VC,"200 Sapphire St, Redondo Beach, CA 90277, United States

+
−
Leaflet",,,,,,"We invest in emerging web3, AI and frontier technology startups. We strive to support the bold founders willing to challenge the status quo and push humanity forward. This includes:

Web 3.0
AI/Machine Learning
Space
Climate related technologies and infrastructure
Robotics and automation
3D Printing
Sustainable cities
Logistics/manufacturing",1. Idea or Patent; 2. Prototype; 3. Early Revenue; 4. Scaling,Sometimes,50000,250000,$50k to $250k,USA,Nick Birnbaum (GP/MD),22,fund/Pear%20Tree%20Ventures,,,,,,
Walter Ventures,TRUE,./images/funds/recvPfgoqcMG648nm.jpg,logos/Walter_Ventures.jpg,https://www.linkedin.com/company/walter-ventures/,https://www.waltervc.com,We are a pan-European Series A VC firm empowering visionary founders in enterprise software to sustainably transform established industries,"Our concentrated portfolio allows us to become a founders sounding board. We bring a diverse network of corporates across different industries and geographies, providing access to clients, advisors, business partners, and other networks across North America and Europe.",VC,"Pg. de Joan de Borbó, 93, Ciutat Vella, 08039 Barcelona

Freddie-Mercury-Straße 5, 80797 München, Germany, Bar

1, Westmount Square Suite 1850 Westmount, Quebec H3Z 2P9 Canada

+
−
Leaflet","Freddie-Mercury-Straße 5, 80797 München, Germany, Bar","1, Westmount Square Suite 1850 Westmount, Quebec H3Z 2P9 Canada",,,,"We invest in enterprise SaaS, empowering visionary founders to sustainably transform established industries. We require capex light business models targeting business.",3. Early Revenue; 4. Scaling,Sometimes,500000,5000000,$500k to $5M,Albania; Andorra; Armenia; Austria; Belarus; Belgium; Bosnia-H; Bulgaria; Croatia; Cyprus; Czech Republic; Denmark; Estonia; Finland; France; Georgia; Germany; Gibraltar; Greece; Holy See; Hungary; Iceland; Ireland; Italy; Latvia; Liechtenstein; Lithuania; Luxembourg; Malta; Moldova; Monaco; Montenegro; Netherlands; North Macedonia; Norway; Poland; Portugal; Romania; Russia; San Marino; Serbia; Slovakia; Slovenia; Spain; Sweden; Switzerland; UK; Ukraine,Maxime Van den Berg (Sr Associate),22,fund/Walter%20Ventures,,,,,,
35 North Ventures,TRUE,./images/funds/recPuLFWHoLE6pFVc.jpg,logos/35_North_Ventures.jpg,https://www.linkedin.com/company/35northventures,https://www.35northventures.com/,"35 North Ventures is an India-focused Private Equity and Venture Capital investment manager, founded by professionals with extensive experience in Indian and global capital markets.",We take a board seat and hold bi-weekly or monthly meetings to connect with board advisory members. We assist them in their further rounds and support them in every possible way.,VC,"Level 3, B-Wing, The Capital, Bandra Kurla Complex (BKC), Bandra East, Mumbai – 400051, India

+
−
Leaflet",,,,,,"We invest in early growth-stage companies, Pre-Series A and above.",5. Growth; 6. Pre-IPO,Always,1000000,5000000,$1M to $5M,India,,22,fund/35%20North%20Ventures,,,,,,
10D,TRUE,./images/funds/rec6lJrClx1rGfOzf.jpg,logos/10D.jpg,https://www.linkedin.com/company/10dvc,https://www.10d.vc/,"10D is an early-stage venture capital firm headquartered in Tel Aviv that backs Israeli founders who “look beyond the seen and the unseen” to build category-defining companies across deep tech, defense, digital health, fintech, deep-tech and enterprise software.","Capital is only the starting point. Our portfolio companies work directly with a full-time platform team, who support recruiting pipelines, GTM tooling, operational playbooks and ecosystem connections so founders can move faster and hire better.",VC,"28 HaArba’a Street. Northern Tower, 11th Floor. Tel Aviv, Israel

+
−
Leaflet",,,,,,"We invest in Israeli and Israeli-related exceptional entrepreneurs, from early-stage to Seed and Series A rounds. We are looking for startups who disrupt markets by using deep technology, creating new business models, and featuring entrepreneurial teams in digital health, fintech, insurance, computer vision, and artificial intelligence.",1. Idea or Patent; 2. Prototype; 3. Early Revenue,Sometimes,500000,5000000,$500k to $5M,Israel,Oded Hollander (Analyst),22,fund/10D,,,,,,
Oval Park Capital,FALSE,./images/funds/recx66Yj9CsN58GB5.jpg,logos/Oval_Park_Capital.jpg,https://www.linkedin.com/company/oval-park-capital,https://ovalpark.com,We are an early-stage venture capital firm.,,VC,"1 Glenwood Ave, 27603 Raleigh, North Carolina, North Carolina, US

+
−
Leaflet",,,,,,"We invest in automation, industrial, insurtech.",3. Early Revenue; 4. Scaling; 5. Growth,Sometimes,500000,2000000,$500k to $2M,Canada; USA,,22,fund/Oval%20Park%20Capital,,,,,,
Zinc,FALSE,./images/funds/rec6Pg9kRYiTwOv2U.jpg,logos/Zinc.jpg,https://www.linkedin.com/company/zincvc/,http://www.zinc.vc/,We are a London-based business builder that operates mission-led programs for nine months.,,"Incubator, Accelerator","London, GB",,,,,,We invest in scalable businesses with a focus on social impact.,2. Prototype; 3. Early Revenue,,100000,3000000,$100k to $3M,Germany; UK,,22,fund/Zinc,,,,,,
Massachusetts Clean Energy Center,TRUE,./images/funds/recDSJ6YETyDnvyX0.jpg,logos/Massachusetts_Clean_Energy_Center.jpg,https://www.linkedin.com/company/masscec/posts/?feedView=all,https://www.masscec.com/program/2030-fund,MassCEC's strategy is to attract and leverage significant private capital investment in Climatech alongside all our investments.,"MassCEC acts as a strategic, value-add investor. We seek to be actively involved in our portfolio companies through board or board observer roles in order to bring as much value to the company as possible. As a public agency deeply involved in the cleantech ecosystem, we can also offer a variety of resources to our portfolio companies beyond financial support by leveraging MassCEC’s other various programs and contacts.",Public fund,"294 Washington Street, Suite 1150, Boston, Massachussets

+
−
Leaflet",,,,,,"We invest in Massachusetts’ brightest climate technology innovators. Our investments support climatetech companies as they de-risk their technology, reach early commercial milestones, and attract growth funding.",2. Prototype; 3. Early Revenue; 4. Scaling,Sometimes,200000,1500000,$200k to $1.5M,USA,Susan Stewart (Partner),23,fund/Massachusetts%20Clean%20Energy%20Center,,,,,,
YourNest VC,FALSE,./images/funds/recBB2Cy1JoMx2fk2.jpg,logos/YourNest_VC.jpg,,https://www.yournest.in/,,,VC,India,,,,,,,,,,,,India,,23,fund/YourNest%20VC,,,,,,
