Fund Name,Verified,Logo URL,Local Logo Path,LinkedIn,Website,Who we are,Value add,Firm type,Global HQ,Branch office #1,Branch office #2,Branch office #3,Branch office #4,Branch office #5,Funding requirements,Funding stages,Lead,Check Size Min,Check Size Max,Check size,Target countries,Team,Source Page,Profile URL,Twitter,Who I am,Application periodicity,Typical terms,Time to money,Typical fee
Financial Horizon Group,FALSE,./images/funds/recE5dKUa9T5OgYsy.jpg,logos/Financial_Horizon_Group.jpg,https://www.linkedin.com/company/financial-horizon-consultants-fhc-,http://www.f-horizon.com/,We are a family office overseeing varied holdings and enterprises.,,Family office,"Prince Turki Bin Abdulaziz Street, 34422 Al Yarmook, Eastern, Eastern, SA

+
−
Leaflet",,,,,,We invest in a diverse range of companies and sectors.,3. Early Revenue; 4. Scaling,Never,,,,Jordan; Saudi Arabia; UAE,,279,fund/Financial%20Horizon%20Group,,,,,,
Sparta Group,FALSE,./images/funds/rect74pir7GbRepLf.jpg,logos/Sparta_Group.jpg,https://www.linkedin.com/company/sparta-group-llc,https://www.spartagroupllc.com/,,,VC,"92 Montvale Ave, 02180 Stoneham, Massachusetts, Massachusetts, US

+
−
Leaflet",,,,,,We invest in technology companies.,3. Early Revenue; 4. Scaling; 5. Growth,Never,,,,India; USA,,279,fund/Sparta%20Group,,,,,,
Social and Sustainable Capital,FALSE,./images/funds/recId5cMCslEz6WMa.jpg,logos/Social_and_Sustainable_Capital.jpg,https://www.linkedin.com/company/3963156?trk=prof-0-ovw-curr_pos,http://socialandsustainable.com/,We are an investment firm.,,VC,"The Podium, NW1 2DN London, GB

+
−
Leaflet",,,,,,We invest in companies focused on social impact and sustainability.,3. Early Revenue,Sometimes,,,,UK,,279,fund/Social%20and%20Sustainable%20Capital,,,,,,
Legacy Knight,FALSE,./images/funds/rec6D6mlfS5K8MRBc.jpg,logos/Legacy_Knight.jpg,https://www.linkedin.com/company/legacy-knight-multi-family-office/,http://www.legacyknight.com,"We are an independent, family and partner-owned multi-family office.",,Family office,"3001 Maple Ave, 75201 Dallas, Texas, Texas, US

+
−
Leaflet",,,,,,We invest in areas related to consulting services.,4. Scaling; 5. Growth; 3. Early Revenue,Sometimes,,,,USA,,279,fund/Legacy%20Knight,,,,,,
BIRD Foundation,FALSE,./images/funds/recD8KeeLqVsyDhLP.jpg,logos/BIRD_Foundation.jpg,https://www.linkedin.com/company/bird-foundation/,http://birdf.com,We are a non-profit foundation dedicated to encouraging and facilitating international business collaboration.,,Public fund,"Park Atidim Building 4, 15th floor, 6158001 Tel Aviv, IL

+
−
Leaflet",,,,,,We invest in projects that foster cooperation between U.S. and Israeli companies.,2. Prototype; 3. Early Revenue,Sometimes,,,,Israel; UK; USA,,279,fund/BIRD%20Foundation,,,,,,
Zeon Ventures,FALSE,./images/funds/rec0B2bq5rIlsONLf.jpg,logos/Zeon_Ventures.jpg,https://www.linkedin.com/company/zeon-ventures,https://www.zeon.ventures/,We are the investment arm of a major corporation.,,Corporate VC,"25 Metro Dr, 95110 San Jose, California, California, US

+
−
Leaflet",,,,,,We invest in companies that align with our corporate strategy.,3. Early Revenue; 4. Scaling,Never,,,,South Korea; USA,,279,fund/Zeon%20Ventures,,,,,,
Symphony International Holdings,FALSE,./images/funds/recnQdBxbN4ZGbwKR.jpg,logos/Symphony_International_Holdings.jpg,https://www.linkedin.com/company/symphony-asia,http://www.symphonyasia.com,We offer investors exposure to growth opportunities in specific regional markets.,,VC,"200 Newton Road, 307983 Singapore , Singapore, SG

+
−
Leaflet",,,,,,"We invest in companies within rapidly expanding markets, particularly focusing on information technology, information services, real estate, and construction.",4. Scaling; 3. Early Revenue,Always,,,,India; Singapore; Vietnam,,279,fund/Symphony%20International%20Holdings,,,,,,
Southern Cross Venture Partners,FALSE,./images/funds/recaIGk1E3y1WcbUY.jpg,logos/Southern_Cross_Venture_Partners.jpg,http://www.linkedin.com/company/southern-cross-venture-partners,http://www.sxvp.com,We are venture capitalists with experience managing and operating companies.,,VC,"17 Bridge St, 2000 Sydney, New South Wales, New South Wales, AU

+
−
Leaflet",,,,,,We invest in various companies.,3. Early Revenue; 4. Scaling; 5. Growth,Sometimes,2000000,,min. $2M,Australia; Singapore; USA,,279,fund/Southern%20Cross%20Venture%20Partners,,,,,,
Woodline Partners,FALSE,./images/funds/recIBL1AaXbBgU7IZ.jpg,logos/Woodline_Partners.jpg,https://www.linkedin.com/company/woodline-partners/,https://woodlinepartners.com/,We are a private equity firm.,,PE fund,"94111 San Francisco, CA, California, US

+
−
Leaflet",,,,,,"We invest in healthcare and technology sectors, including software.",4. Scaling; 5. Growth; 6. Pre-IPO; 3. Early Revenue,Never,,,,Canada; Japan; UK; USA,,279,fund/Woodline%20Partners,,,,,,
Emergence Capital,FALSE,./images/funds/recAmlyycao8kDbPj.jpg,logos/Emergence_Capital.jpg,https://www.linkedin.com/company/emergence-partners-limited,http://emergencecapitalpartnersltd.com,We are a firm that supports nascent businesses.,,VC,"Lekki, Lagos State, Lagos State, NG",,,,,,We invest in early-stage companies.,2. Prototype; 3. Early Revenue; 4. Scaling; 5. Growth,Sometimes,,,,Canada; USA,,280,fund/Emergence%20Capital,,,,,,
Play Ventures,FALSE,./images/funds/recNOsSBP5h4R9sWq.jpg,logos/Play_Ventures.jpg,https://www.linkedin.com/company/playventures/,http://www.playventures.vc/,We are a venture funding firm.,,VC,"1 North Bridge Road #08-08, 179094 Singapore, Singapore, SG

+
−
Leaflet",,,,,,We invest globally in games and game services startups.,2. Prototype; 3. Early Revenue; 4. Scaling,Sometimes,5000000,,max. $5M,Australia; Canada; Cyprus; Denmark; Estonia; Finland; Germany; India; Israel; Singapore; South Korea; Spain; Turkey; UK; USA,,280,fund/Play%20Ventures,,,,,,
Vitality Capital,FALSE,./images/funds/recOXiLsWLsl80FLq.jpg,logos/Vitality_Capital.jpg,https://www.linkedin.com/company/vitality-capital-inc/,http://vitalitycapital.ca/,We are an investment fund based in Toronto.,,PE fund,"133 Berkeley Street, M5A 2X1 Toronto, Ontario, Ontario, CA

+
−
Leaflet",,,,,,We invest in a variety of sectors.,3. Early Revenue; 4. Scaling,Sometimes,,,,Canada; USA,,280,fund/Vitality%20Capital,,,,,,
Randstad Innovation Fund,FALSE,./images/funds/recJqtrRd68VUrew1.jpg,logos/Randstad_Innovation_Fund.jpg,https://www.linkedin.com/company/randstad-innovation-fund/,https://www.randstad.com/,We are an innovation fund supporting Randstad's strategic goals.,,Corporate VC,"Diemermere 25, Amsterdam, NL

+
−
Leaflet",,,,,,We invest in innovative companies that are shaping the future of work and human resources.,3. Early Revenue; 4. Scaling; 5. Growth,Sometimes,,,,Germany; Spain; Switzerland; Netherlands; USA,,280,fund/Randstad%20Innovation%20Fund,,,,,,
Actyus,FALSE,./images/funds/recNHnvqPMapRWktA.jpg,logos/Actyus.jpg,https://www.linkedin.com/company/actyus,http://actyus.com,We are an investor focusing on Latin America and Europe.,,VC,"Madrid, ES",,,,,,We invest in fintech and insurtech.,2. Prototype; 3. Early Revenue; 4. Scaling; 5. Growth,Never,,,,Brazil; Denmark; Mexico; Spain; USA,,280,fund/Actyus,,,,,,
Corecam Family Office,FALSE,./images/funds/reclR5mMQiPV8rQih.jpg,logos/Corecam_Family_Office.jpg,https://www.linkedin.com/company/corecam/,http://corecam.com/,"We are the family office division of Corecam Investment Group, providing comprehensive investment management.",,Family office,"Toedistrasse 5, 8002 Zurich, CH

+
−
Leaflet",,,,,,We invest in various sectors.,3. Early Revenue; 4. Scaling,Sometimes,,,,Germany; USA,,280,fund/Corecam%20Family%20Office,,,,,,
Aliment Capital,FALSE,./images/funds/recYdPbwF2PuvJ0Sq.jpg,logos/Aliment_Capital.jpg,https://www.linkedin.com/company/aliment-capital,https://www.alimentcap.com,We are a pioneering growth capital investor specializing in these sectors.,,VC,"2450 Colorado Ave, 90404 Santa Monica, California, California, US

+
−
Leaflet",,,,,,"We invest in food, agriculture technology, and business development.",4. Scaling; 5. Growth; 3. Early Revenue,Sometimes,,,,Canada; France; UK; USA,,280,fund/Aliment%20Capital,,,,,,
Helios Capital,FALSE,./images/funds/recMJa71kSE00en4A.jpg,logos/Helios_Capital.jpg,https://www.linkedin.com/company/helioscapital,http://www.helioscapital.us,We are a single family office.,,Family office,"331 Park Ave S, 10010 New York, New York, New York, US

+
−
Leaflet",,,,,,"We invest in early stage deep technology, contributing to Industry 4.0, with a focus on fintech.",2. Prototype; 3. Early Revenue; 4. Scaling; 5. Growth,Never,,,,USA,,280,fund/Helios%20Capital,,,,,,
Altara Ventures,FALSE,./images/funds/recXTjN67ivSDYCOR.jpg,logos/Altara_Ventures.jpg,https://www.linkedin.com/company/altaraventures,https://altaraventures.com/,We are an investment firm dedicated to supporting growth across various industry sectors.,,VC,"2 Fusionopolis Way, 138634 Singapore, SG

+
−
Leaflet",,,,,,"We invest in fintech, consumer, enterprise software, logistics, healthcare, and edtech verticals.",3. Early Revenue; 4. Scaling; 5. Growth,Sometimes,,,,India; Indonesia; Malaysia; Singapore; South Korea; Thailand; USA; Vietnam,,280,fund/Altara%20Ventures,,,,,,
Gecad Ventures,FALSE,./images/funds/receAAuzCe8o007Fa.jpg,logos/Gecad_Ventures.jpg,https://www.linkedin.com/company/gecad-group?trk=top_nav_home,http://www.gecad.com/,We are an investment firm seeking to support high-growth businesses from Central and Eastern Europe.,,VC,"Floreasca Park, Șoseaua Pipera, No. 43, Building B, 1st Floor, 020308 Bucharest, RO

+
−
Leaflet",,,,,,We invest in technology startups and expansion-phase companies with international scaling potential.,2. Prototype; 3. Early Revenue; 4. Scaling,Sometimes,,,,Denmark; Romania; UK; USA,,280,fund/Gecad%20Ventures,,,,,,
APEX Partners,FALSE,./images/funds/recyusy0C2zY1xRTM.jpg,logos/APEX_Partners.jpg,https://www.linkedin.com/company/apex-partners-gest%C3%A3o-de-ativos,https://apexpartners.com.br/,We operate as a financial services platform.,,PE fund,"Av. João Batista Parra, 633, Vitória, Espírito Santo, Espírito Santo, BR

+
−
Leaflet",,,,,,We invest in alternative investments and financial services.,2. Prototype; 3. Early Revenue,Sometimes,,,,Brazil,,281,fund/APEX%20Partners,,,,,,
MAPE Advisory Group,FALSE,./images/funds/recif9KOoSKSaB4eG.jpg,logos/MAPE_Advisory_Group.jpg,https://www.linkedin.com/company/mape-advisory-group,http://mapegroup.com/,We are an investment bank providing M&A and private equity advisory services.,,PE fund,"211, Prestige Center Point, 560052 Bangalore, Karnataka, Karnataka, IN

+
−
Leaflet",,,,,,We invest across a variety of sectors.,3. Early Revenue; 4. Scaling,Sometimes,,,,India; Mauritius; Singapore; UK; USA,,281,fund/MAPE%20Advisory%20Group,,,,,,
Integra Partners,FALSE,./images/funds/recWYt0tkqg5ThM9X.jpg,logos/Integra_Partners.jpg,https://www.linkedin.com/company/integraventurepartners/,https://integrapartners.co/,We are a partner for exceptional entrepreneurs driving transformation.,,VC,"15 Beach Road, 189677 Singapore, Singapore, SG

+
−
Leaflet",,,,,,We invest in financial services.,3. Early Revenue; 4. Scaling,Sometimes,,,,Germany; Hong Kong; Indonesia; Malaysia; Malta; Pakistan; Philippines; Singapore; Netherlands; UK; USA; Vietnam,,281,fund/Integra%20Partners,,,,,,
SJF Ventures,FALSE,./images/funds/recpkBXKgYCONTYzC.jpg,logos/SJF_Ventures.jpg,https://www.linkedin.com/company/sjf-ventures,http://www.sjfventures.com,We are a venture capital partnership dedicated to these sectors.,,VC,"200 N. Mangum, Suite 203, 27701 Durham, NC, North Carolina, US

+
−
Leaflet",,,,,,We invest in sustainability and technology-enhanced services.,3. Early Revenue; 4. Scaling; 5. Growth,Sometimes,20000000,,max. $20M,UK; USA,,281,fund/SJF%20Ventures,,,,,,
Manhattan West,FALSE,./images/funds/recNMDTJsWJlaIiUb.jpg,logos/Manhattan_West.jpg,https://www.linkedin.com/company/manhattan-west-enterprise-llc/mycompany/?viewAsMember=true,https://manhattanwest.com,We are a strategic investment firm operating on a global scale.,,Family office,"Los Angeles, California, United States",,,,,,"We invest in asset management, real estate, and wealth management.",3. Early Revenue,Sometimes,,,,Sweden; USA,,281,fund/Manhattan%20West,,,,,,
HighBar Partners,FALSE,./images/funds/recn3wbEGXvsKz9le.jpg,logos/HighBar_Partners.jpg,https://www.linkedin.com/company-beta/3109177/,http://www.highbarpartners.com,We are an investment firm focused on strategic growth capital.,,PE fund,"Menlo Park, California, United States",,,,,,"We invest in strategic growth capital opportunities within enterprise and infrastructure software, including cloud infrastructure.",3. Early Revenue; 4. Scaling; 5. Growth,Sometimes,,,,USA,,281,fund/HighBar%20Partners,,,,,,
Qihoo 360 Technology,FALSE,./images/funds/recr2ElsCVR2J5ENl.jpg,logos/Qihoo_360_Technology.jpg,https://www.linkedin.com/company/qihoo-360,https://www.360totalsecurity.com,We are a technology company known for developing internet and mobile security products and providing value-added online services in China.,,VC,"酒仙桥路6号院（电子城·国际电子总部）2号楼, 朝阳区, 北京市, CN

+
−
Leaflet",,,,,,"We invest in companies focused on internet services, mobile technology, and cybersecurity solutions, including online advertising platforms.",3. Early Revenue; 4. Scaling; 5. Growth,Sometimes,,,,Austria; China; South Korea; USA,,281,fund/Qihoo%20360%20Technology,,,,,,
WNT Ventures,FALSE,./images/funds/rectozOYUWZT16zby.jpg,logos/WNT_Ventures.jpg,https://www.linkedin.com/company/wnt-ventures,http://wntventures.co.nz/,We champion and empower New Zealand pioneers from early stages in frontier tech journeys.,,"Incubator, Accelerator","148 Durham Street, 3141 Tauranga, Bay of Plenty, Bay of Plenty , NZ

+
−
Leaflet",,,,,,"We invest in deep technology, including advanced materials, aerospace, agriculture, artificial intelligence, food and beverage, hardware, intellectual property, medical devices, robotics, and sensors.",2. Prototype; 3. Early Revenue; 4. Scaling,,,,,New Zealand; USA,,281,fund/WNT%20Ventures,,,,,,
KHAN Technology Transfer Fund,FALSE,./images/funds/recl3vi9IZIGzWTUU.jpg,logos/KHAN_Technology_Transfer_Fund.jpg,https://www.linkedin.com/company/khan-technology-transfer-fund-i/,https://khanu.de/,We are an investment firm facilitating the commercialization of technological innovations.,,VC,"Otto-Hahn-Straße 15, 44227 Dortmund, North Rhine - Westfalia, DE

+
−
Leaflet",,,,,,We invest in technology companies through a transfer fund.,3. Early Revenue; 4. Scaling,Sometimes,,,,Czech Republic; Germany; Luxembourg; UK,,281,fund/KHAN%20Technology%20Transfer%20Fund,,,,,,
Stage Venture Partners,FALSE,./images/funds/rec8DdnredO29D4sO.jpg,logos/Stage_Venture_Partners.jpg,https://www.linkedin.com/company/4826240,http://www.stagevp.com/,We are a seed venture capital firm.,,VC,"1888 Century Park E #900, 90067 Los Angeles, California, California, US

+
−
Leaflet",,,,,,"We invest in emerging software technology for B2B markets, including smart building solutions.",2. Prototype; 3. Early Revenue; 4. Scaling,Sometimes,500000,,max. $500k,Mexico; USA,,281,fund/Stage%20Venture%20Partners,,,,,,
Oregon Story Board,FALSE,./images/funds/rechrXNLmqFz32meX.jpg,logos/Oregon_Story_Board.jpg,http://www.linkedin.com/company/oregon-story-board,http://oregonstoryboard.org/,We are an accelerator supporting this community.,,"Incubator, Accelerator","411 NW Flanders, 97209 Portland, OR, Oregon, US

+
−
Leaflet",,,,,,We invest in the digital storytelling community.,3. Early Revenue,,,,,USA,,281,fund/Oregon%20Story%20Board,,,,,,
Nazca Capital,FALSE,./images/funds/rec5OxqwNFqQF4yYl.jpg,logos/Nazca_Capital.jpg,https://www.linkedin.com/company/nazcacapital,http://www.nazca.es,We are a management company focused on supporting Spanish enterprises.,,PE fund,"Almagro, 23, 28010 Madrid, Madrid, ES

+
−
Leaflet",,,,,,We invest in small and medium-sized businesses.,2. Prototype; 3. Early Revenue,Sometimes,,,,Colombia; Mexico; Spain; Trinidad and Tobago; USA,,282,fund/Nazca%20Capital,,,,,,
Arz Portfolio,FALSE,./images/funds/recoKaAXsh9vx3oWN.jpg,logos/Arz_Portfolio.jpg,https://www.linkedin.com/company/arz-portfoy/,https://arzportfoy.com/en/,We are an investor operating under a license from the Capital Markets Board of Turkey.,,VC,"Barbaros Mah. Karanfil Sk., 34746 Ataşehir, İstanbul, İstanbul, TR

+
−
Leaflet",,,,,,We invest in companies within the FinTech sector.,3. Early Revenue,Sometimes,,,,Turkey; UK,,282,fund/Arz%20Portfolio,,,,,,
PreAngel,FALSE,./images/funds/recdCnCRAabNQsuxK.jpg,logos/PreAngel.jpg,https://www.linkedin.com/company/preangel/,https://www.pre-angel.com,,,Angel network,"440 N Wolfe Rd, 94085 Sunnyvale, California, California, US

+
−
Leaflet",,,,,,"We invest in artificial intelligence, machine learning, and open source software solutions.",2. Prototype; 3. Early Revenue; 4. Scaling; 5. Growth,Sometimes,,,,China; Saudi Arabia; Singapore; Switzerland; USA,,282,fund/PreAngel,,,,,,
Bestport Ventures,FALSE,./images/funds/recn0L0KuNqkgAjz2.jpg,logos/Bestport_Ventures.jpg,http://www.linkedin.com/company/bestport-ventures-llp,http://www.bestport.co.uk,"We are an independent provider of development capital, focusing on smaller businesses in the UK.",,VC,"42 Upper Berkeley Street, W1H 5 London, England, England, GB

+
−
Leaflet",,,,,,We invest in fast-growing companies.,3. Early Revenue; 4. Scaling,Sometimes,,,,UK; USA,,282,fund/Bestport%20Ventures,,,,,,
Delphi VC,FALSE,./images/funds/recXaI7UodlaLswfM.jpg,logos/Delphi_VC.jpg,https://www.linkedin.com/company/delphi-vc/,https://www.delphi.vc/,We are a venture capital firm supporting innovative early-stage companies.,,VC,"231 Bowery, New York, US

+
−
Leaflet",,,,,,We invest in early-stage companies across various sectors.,3. Early Revenue; 4. Scaling,Never,,,,UK; USA,,282,fund/Delphi%20VC,,,,,,
Actis,FALSE,./images/funds/rec3KkB2pDlRmGncT.jpg,logos/Actis.jpg,https://www.linkedin.com/company/actis/,https://www.act.is/,We are a global investor focused on growth markets.,,PE fund,"2 More London Riverside, SE12JT London, London, GB

+
−
Leaflet",,,,,,"We invest in private equity, energy, infrastructure, and real estate.",3. Early Revenue; 4. Scaling; 5. Growth,Sometimes,,,,Argentina; Brazil; Canada; China; Egypt; Ghana; Guatemala; Hong Kong; India; UK; Kenya; Malaysia; Mauritius; Nigeria; Philippines; Singapore; South Africa; Sri Lanka; Tanzania; Thailand; Tunisia; Uganda; UAE; USA; Zimbabwe,,282,fund/Actis,,,,,,
iVenture Accelerator,FALSE,./images/funds/recUbQktFNKYXEH1C.jpg,logos/iVenture_Accelerator.jpg,https://www.linkedin.com/company/university-of-illinois-at-urbana-champaign,http://iventure.illinois.edu/,We are an educational accelerator supporting top student startups at the University of Illinois.,,"Incubator, Accelerator","610 East John Street, 61820 Champaign, IL, Illinois, US

+
−
Leaflet",,,,,,We invest in student startups.,2. Prototype; 3. Early Revenue,,,,,USA,,282,fund/iVenture%20Accelerator,,,,,,
Ally Bridge Group,FALSE,./images/funds/recDQ5JU3ka5X1DFV.jpg,logos/Ally_Bridge_Group.jpg,https://www.linkedin.com/company/ally-bridge-group,http://www.ally-bridge.com,"We are an investment group committed to venture, growth capital, and buyout strategies.",,PE fund,"Hong Kong, Hong Kong Island, Hong Kong",,,,,,We invest in healthcare ventures and hedge funds.,4. Scaling; 5. Growth; 6. Pre-IPO; 3. Early Revenue,Sometimes,,,,Canada; China; France; Ireland; Israel; USA,,282,fund/Ally%20Bridge%20Group,,,,,,
Paratus Investment,FALSE,./images/funds/recsTvqKaOKw8R8Rz.jpg,logos/Paratus_Investment.jpg,https://www.linkedin.com/company/paratus-investment-inc/,http://paratusinvestment.com/,We operate as a funding platform.,,PE fund,"Seoul, Seoul-t'ukpyolsi, South Korea",,,,,,We invest across diverse sectors as a private equity fund.,3. Early Revenue; 4. Scaling,Sometimes,,,,South Korea; USA,,283,fund/Paratus%20Investment,,,,,,
Reshape,FALSE,./images/funds/recumWwyIXaVrYUbD.jpg,logos/Reshape.jpg,https://www.linkedin.com/company/reshape-ventures/,http://www.reshape.co,We are a next-generation investor dedicated to scaling businesses by integrating operational needs with property solutions.,,VC,"23 E 22nd St., 10010 New York, NY, New York, US

+
−
Leaflet",,,,,,We invest in technology-enabled companies that require real estate for growth.,2. Prototype; 3. Early Revenue; 4. Scaling; 5. Growth,Never,,,,Singapore; UK; USA,,283,fund/Reshape,,,,,,
Purple,FALSE,./images/funds/recCd3AR2Npv0U4DA.jpg,logos/Purple.jpg,https://www.linkedin.com/company/purple-angel/,https://www.purple-k.io/,"We are the venture capital arm of Laurent Ritter, co-founder of Voodoo.",,VC,"74, Rue Joseph de Maistre, 75018 Paris, Île-de-France, Île-de-France, FR

+
−
Leaflet",,,,,,We invest in various sectors.,2. Prototype; 3. Early Revenue; 4. Scaling,Never,,,,France; Luxembourg; UK,,283,fund/Purple,,,,,,
Arkin Holdings,FALSE,./images/funds/rec9oNBkssTfQihuv.jpg,logos/Arkin_Holdings.jpg,https://www.linkedin.com/company/arkin-holdings/,http://www.arkinholdings.com,We empower companies creating innovative solutions.,,PE fund,"Herzliya, Tel Aviv, Israel",,,,,,"We invest in breakthrough pharma, biotech, medical device, and digital health solutions.",3. Early Revenue; 4. Scaling; 5. Growth,Sometimes,,,,Israel; Switzerland; USA,,283,fund/Arkin%20Holdings,,,,,,
January Capital,FALSE,./images/funds/rec2ZIy5Q3NG8USLF.jpg,logos/January_Capital.jpg,https://www.linkedin.com/company/january-capital,http://january.capital,We operate within the Asia-Pacific region.,,VC,"Downtown Core, Central, Singapore",,,,,,We invest in second-order businesses that drive growth.,2. Prototype; 3. Early Revenue; 4. Scaling; 5. Growth; 6. Pre-IPO,Sometimes,,,,Australia; Hong Kong; India; Indonesia; Singapore; Thailand; USA; Vietnam,,283,fund/January%20Capital,,,,,,
Economistes BAN,FALSE,./images/funds/recsZwYYpYCgvKYMA.jpg,logos/Economistes_BAN.jpg,https://www.linkedin.com/company/coleconomistescat,http://www.coleconomistes.cat/Paginas/Ficha.aspx?IdMenu=3db69583-b264-496e-ae9c-ae48e750bc23&Idioma=ca-ES,We are a network of private investors.,,Angel network,"Pl. Gal·la Placídia, 32, 08006 Barcelona, Barcelona, ES

+
−
Leaflet",,,,,,We invest in generalist opportunities.,2. Prototype; 3. Early Revenue,Sometimes,,,,Spain,,283,fund/Economistes%20BAN,,,,,,
HBS Alumni Angels New York,FALSE,./images/funds/recwrauqlWFHVvVZM.jpg,logos/HBS_Alumni_Angels_New_York.jpg,https://www.linkedin.com/company/hbsnyangels,https://www.hbsangelsny.com/,We are an angel group that has invested over $15 million in numerous early-stage companies.,,Angel network,"New York, NY, New York, US",,,,,,We invest in early-stage companies.,2. Prototype; 3. Early Revenue; 4. Scaling,Never,,,,USA,,283,fund/HBS%20Alumni%20Angels%20New%20York,,,,,,
NextLeap Ventures,FALSE,./images/funds/recQIfTvaN36wW4t7.jpg,logos/NextLeap_Ventures.jpg,https://www.linkedin.com/company/nextleap-ventures,https://nextleapventures.com/,We are an investment firm.,,VC,"12 Abraham Stern Street, 4641212 Herzliya, Israel, IL

+
−
Leaflet",,,,,,We invest broadly.,3. Early Revenue; 4. Scaling,Sometimes,,,,Israel; USA,,283,fund/NextLeap%20Ventures,,,,,,
Roux Institute at Northeastern University - Entrepreneurship,FALSE,./images/funds/recYh1bvwCucI1t18.jpg,logos/Roux_Institute_at_Northeastern_University__Entrepreneurship.jpg,https://www.linkedin.com/company/northeastern-university,https://roux.northeastern.edu/entrepreneurship,"We support various programs for entrepreneurs, such as residencies, workshops, and boot camps.",,"Incubator, Accelerator","360 Huntington Ave, 02115-5005 Boston, MA, Massachusetts, US

+
−
Leaflet",,,,,,"We invest in entrepreneurship initiatives, including accelerators.",2. Prototype; 3. Early Revenue,,,,,Canada; Ireland; USA,,283,fund/Roux%20Institute%20at%20Northeastern%20University%20-%20Entrepreneurship,,,,,,
Trajectory Capital Partners,FALSE,./images/funds/reczSO6zBdv5KxgZb.jpg,logos/Trajectory_Capital_Partners.jpg,https://www.linkedin.com/company/trajectory-capital/,https://TrajectoryCapital.com,,,Family office,"99 Wall Street #5801, 10005 New York, NY, New York, US

+
−
Leaflet",,,,,,"We invest in companies leveraging artificial intelligence, big data, analytics, blockchain, fintech, and software to accelerate growth in areas such as advertising, marketing, and supply chain.",3. Early Revenue; 4. Scaling,Never,,,,Canada; USA,,283,fund/Trajectory%20Capital%20Partners,,,,,,
Perot Jain,FALSE,./images/funds/reckHc10Hi0fgAzvI.jpg,logos/Perot_Jain.jpg,https://www.linkedin.com/company/perot-jain-l.p.,http://www.perotjain.com/,We are a Dallas-based venture capital firm.,,VC,"7859 Walnut Hill Ln, 75225 Dallas, TX, Texas, US

+
−
Leaflet",,,,,,We invest in seed and early-stage companies.,3. Early Revenue; 4. Scaling; 5. Growth,Never,500000,,max. $500k,India; USA,,283,fund/Perot%20Jain,,,,,,
Counterview Capital,FALSE,./images/funds/rec659I0NKdpVs21S.jpg,logos/Counterview_Capital.jpg,https://www.linkedin.com/company/counterview-capital/,http://www.counterview.vc,We are a venture capital firm focusing on seed-stage investments.,,VC,"747 3rd Ave, 10017 New York, US

+
−
Leaflet",,,,,,We invest in companies across various sectors.,2. Prototype; 3. Early Revenue; 4. Scaling; 5. Growth,Never,,,,Australia; Canada; UK; USA,,284,fund/Counterview%20Capital,,,,,,
Traditum Private Equity,FALSE,./images/funds/recKupGk8pim7ptTL.jpg,logos/Traditum_Private_Equity.jpg,https://www.linkedin.com/company/traditum-private-equity,https://www.traditum.co.uk/,We are a private equity fund based in the UK and regulated by the FCA.,,PE fund,"One Park Row, LS1 5HN Leeds, Yorkshire, GB

+
−
Leaflet",,,,,,We invest in diverse opportunities.,3. Early Revenue,Always,,,,UK,,284,fund/Traditum%20Private%20Equity,,,,,,
Forward Venture Capital,FALSE,./images/funds/recJitpSMPZI8ZYly.jpg,logos/Forward_Venture_Capital.jpg,https://www.linkedin.com/company-beta/18072245/,http://forwardvc.com/,We are a venture capital firm that supports nascent and growing companies aiming to solve emerging or established challenges.,,VC,"Den Haag, Zuid-Holland, The Netherlands",,,,,,We invest in startups and scale-ups developing innovative solutions.,2. Prototype; 3. Early Revenue; 4. Scaling; 5. Growth,Never,,,,Canada; Denmark; Estonia; Finland; Germany; Ireland; Sweden; Switzerland; UK; USA,,284,fund/Forward%20Venture%20Capital,,,,,,
Croft & Bender,FALSE,./images/funds/recSZBOq20XxTZmfv.jpg,logos/Croft__Bender.jpg,https://www.linkedin.com/company/croft-&-bender/,http://www.croft-bender.com/,"We are a provider of mergers and acquisitions, capital raising, and financial advisory services.",,VC,"4401 Northside Parkway, 30327 Atlanta, GA, Georgia, US

+
−
Leaflet",,,,,,We invest in enterprise software solutions.,4. Scaling; 5. Growth,Sometimes,,,,USA,,284,fund/Croft%20%26%20Bender,,,,,,
Rendered VC,FALSE,./images/funds/recuQc9fCCtGdFqUL.jpg,logos/Rendered_VC.jpg,https://www.linkedin.com/company/rendered-vc,https://www.rendered.vc/,We are a multi-stage fund focused on pioneering solutions for immersive experiences.,,VC,"Denver, Colorado, United States",,,,,,"We invest in companies tackling challenges in the future of immersive technologies, including media and entertainment applications.",2. Prototype; 3. Early Revenue; 4. Scaling,Never,,,,Denmark; Germany; USA,,284,fund/Rendered%20VC,,,,,,
Link VC,FALSE,./images/funds/rec4r5bWMlx0U0f5R.jpg,logos/Link_VC.jpg,https://www.linkedin.com/company/linkcapital,http://www.linkvc.com/,We are a venture capital entity supporting innovation in decentralized technologies.,,VC,"114 LAVENDER STREET#01-54 CT HUB 2 SINGAPORE, 338729 SINGAPORE, SINGAPORE, SG

+
−
Leaflet",,,,,,We invest in outstanding companies and developers in the field of blockchain.,3. Early Revenue; 4. Scaling,Sometimes,,,,Canada; China; Hong Kong; Singapore; UK; USA,,284,fund/Link%20VC,,,,,,
